ión
vision – la visión
depression – la depresión
explosion – la explosión
defendant – el acusado
structure – la estructura
amendment – la enmienda
assault – el asalto
thinking – el pensamiento
therapy – la terapia
nurse – la enfermera
path – el camino
funding – la financiación
tool – la herramienta
title – el título
housing – la carcasa
shop – la tienda
complaint – la queja
wave – la ola
cat – el gato
map – el mapa
employer – el empleador
proof – la prueba
emotion – la emoción
skill – la habilidad
trust – la confianza
topic – el tema
personality – la personalidad
hall – la sala
cabinet – el armario
bone – el hueso
soul – el alma
chicken – el pollo
location – la ubicación
indication – la indicación
speaker – el altavoz
wage – el salario
era – la era
request – la solicitud
boss – el jefe
coach – el entrenador
estate – la finca
sector – el sector
egg – el huevo
stake – la estaca
stop – la parada
ring – el anillo
shock – el choque
contribution – la contribución
announcement – el anuncio
cigarette – el cigarrillo
kitchen – la cocina
territory – el territorio
command – el comando
island – la isla
protest – la protesta
impression – la impresión de
fault – el fallo
coast – la costa
reading – la lectura
variety – la variedad
revenue – los ingresos
bell – la campana
coffee – el café
alcohol – el
